Measures,Values
Recall@1,0.018941789283538523
NDCG@1,0.050374012658889994
Recall@5,0.05195838701368287
NDCG@5,0.04964601253400502
Recall@10,0.0764569415625141
NDCG@10,0.056990099785736284
Recall@20,0.1100251879253291
NDCG@20,0.0670747425481766
Recall@40,0.15657164639352658
NDCG@40,0.07919778333621282
Recall@50,0.1750376276488363
NDCG@50,0.08354526229844535
Recall@100,0.24222808390484016
NDCG@100,0.09792569073139863
trainingTime,18.18063449859619
testingTime,19.938673496246338
AverageTestTimePerUser,0.0005214906495853518
