Measures,Values
Recall@1,0.019703363038753138
NDCG@1,0.05257101009572632
Recall@5,0.05576872205052579
NDCG@5,0.052120905457544824
Recall@10,0.0832800235864651
NDCG@10,0.06075292086842088
Recall@20,0.12445344184157697
NDCG@20,0.07309880550943011
Recall@40,0.18031916043385665
NDCG@40,0.0875795923061888
Recall@50,0.20168871718015347
NDCG@50,0.09260228543853899
Recall@100,0.280727858693403
NDCG@100,0.10943486416510519
trainingTime,23.710318326950073
testingTime,20.981971502304077
AverageTestTimePerUser,0.0005487778286944624
